Country,City,CityId,Latitude,Longitude
Australia,Redesdale,1723,-37.020000000,144.520000000
Australia,Renmark,485,-34.170000000,140.750000000
Australia,Rhyll,1724,-38.460000000,145.310000000
Australia,Richmond [NSW],1725,-33.600000000,150.780000000
Australia,Richmond [TAS],1726,-42.730000000,147.440000000
Australia,Robe,1253,-37.160000000,139.760000000
Australia,Rockhampton,487,-23.380000000,150.480000000
Australia,Roebourne,1210,-20.780000000,117.150000000
Australia,Roma,488,-26.550000000,148.780000000
Australia,Rosebery,1727,-41.780000000,145.530000000
Australia,Ross,1728,-42.030000000,147.500000000
Australia,Roxby Downs,489,-30.450000000,137.170000000
Australia,Rutherglen,1729,-36.060000000,146.460000000
Australia,Sale,490,-38.110000000,147.130000000
Australia,Scone,491,-32.060000000,150.930000000
Australia,Scoresby,1193,-37.900000000,145.230000000
Australia,Scottsdale,1730,-41.160000000,147.510000000
Australia,Seymour,492,-37.030000000,145.150000000
Australia,Sheffield,1821,-41.390000000,146.320000000
Australia,Sheoaks,1731,-37.910000000,144.130000000
Australia,Shepparton,493,-36.380000000,145.420000000
Australia,Singleton,1322,-32.570000000,151.150000000
Australia,Smithton,1732,-40.840000000,145.120000000
Australia,Sorell,1822,-42.780000000,147.560000000
Australia,Springwood,1315,-27.610000000,153.140000000
Australia,St Helens,494,-41.320000000,148.250000000
Australia,St Marys,1823,-41.580000000,148.180000000
Australia,Strahan Town,495,-42.160000000,145.290000000
Australia,Strathbogie,1733,-36.850000000,145.730000000
Australia,Strathgordon,1824,-42.770000000,146.050000000
Australia,Sunshine Coast,496,-26.800000000,153.150000000
Australia,Swan Hill,498,-35.340000000,143.550000000
Australia,Swansea,497,-42.130000000,148.080000000
Australia,Sydney,300,-33.860000000,151.210000000
Australia,Tamworth,499,-31.090000000,150.850000000
Australia,Taree,500,-31.900000000,152.480000000
Australia,Tarraleah,1734,-42.300000000,146.450000000
Australia,Tatura,1735,-36.440000000,145.270000000
Australia,Tennant Creek,501,-19.640000000,134.180000000
Australia,Terrey Hills,1314,-33.680000000,151.230000000
Australia,The Corner,1825,-40.370000000,148.030000000
Australia,The Entrance,1736,-33.350000000,151.500000000
Australia,Thredbo,1162,-36.500000000,148.300000000
Australia,Thursday Island,1737,-10.580000000,142.220000000
Australia,Tibooburra,1738,-29.430000000,142.010000000
Australia,Tom Price,1260,-22.700000000,117.790000000
Australia,Toowoomba,502,-27.580000000,151.930000000
Australia,Toronto,1739,-33.000000000,151.580000000
Australia,Townsville,321,-19.250000000,146.770000000
Australia,Tuggeranong,1312,-35.430000000,149.150000000
Australia,Tullamarine,517,-37.680000000,144.840000000
Australia,Tunnack,1826,-42.450000000,147.460000000
Australia,Tweed Heads,1740,-28.200000000,153.550000000
Australia,Ulverstone,1741,-41.150000000,146.160000000
Australia,Victor Harbor,503,-35.560000000,138.620000000
Australia,Wadeye,1742,-14.230000000,129.520000000
Australia,Wagga Wagga,504,-35.160000000,147.460000000
Australia,Wallsend,1743,-32.900000000,151.670000000
Australia,Walpeup,1744,-35.120000000,142.000000000
Australia,Wangaratta,505,-36.420000000,146.310000000
Australia,Waratah,1827,-41.440000000,145.530000000
Australia,Warracknabeal,1745,-36.260000000,142.410000000
Australia,Warrnambool,506,-38.290000000,142.440000000
Australia,Warwick,507,-28.220000000,152.030000000
Australia,Watsonia,516,-37.700000000,145.080000000
Australia,Weeaproinah,1746,-38.640000000,143.510000000
Australia,Whitemark,1747,-40.120000000,148.020000000
Australia,Whyalla,508,-33.030000000,137.530000000
Australia,Wilsons Promontory,1748,-39.130000000,146.420000000
Australia,Winton,509,-22.390000000,143.040000000
Australia,Wollongong,318,-34.400000000,150.880000000
Australia,Wonthaggi,510,-38.610000000,145.600000000
Australia,Woomera,511,-31.160000000,136.800000000
Australia,Wudinna,1217,-33.050000000,135.460000000
Australia,Wyndham,1212,-15.480000000,128.120000000
Australia,Wynyard,1749,-41.000000000,145.730000000
Australia,Yarra Glen,512,-37.660000000,145.440000000
Australia,Yarrawonga,1750,-36.030000000,146.030000000
Australia,Yass,1751,-34.830000000,148.910000000
Australia,Yeppoon,513,-23.100000000,150.730000000
Australia,Young,1321,-34.250000000,148.230000000
Australia,Yuendumu,1752,-22.260000000,131.800000000
Australia,Yulara,514,-25.190000000,130.970000000
Australia,Zeehan,1828,-41.880000000,145.330000000
Austria,Innsbruck,905,47.270000000,11.350000000
